pickup_month,pu_zone_id,do_zone_id,trip_count,revenue,rank_in_month
2002-12,50,162,1,18.0,1
2002-12,170,170,1,10.5,2
2008-12,141,211,1,19.9,1
2009-01,138,264,1,68.29,1
2009-01,237,264,1,50.0,2
2009-01,79,148,1,17.16,3
2009-01,137,264,1,9.4,4
2023-12,229,244,1,45.72,1
2023-12,138,217,1,42.35,2
2023-12,234,237,1,28.6,3
2023-12,236,142,1,21.6,4
2023-12,68,137,1,18.84,5
2023-12,161,170,1,18.75,6
2023-12,163,237,1,13.5,7
2023-12,144,211,1,12.96,8
2023-12,246,246,1,12.2,9
2023-12,90,68,1,10.1,10
2024-01,237,236,21701,341630.75,1
2024-01,236,237,19259,309599.02,2
2024-01,236,236,15617,213296.8,3
2024-01,237,237,14552,208181.01,4
2024-01,161,237,10169,173469.94,5
2024-01,142,239,8875,132992.64,6
2024-01,237,161,8750,144128.81,7
2024-01,161,236,8699,190263.89,8
2024-01,239,142,8590,125276.31,9
2024-01,239,238,8361,115670.59,10
2024-02,237,236,20837,325230.5,1
2024-02,236,237,18441,296688.15,2
2024-02,236,236,15274,210238.39,3
2024-02,237,237,13828,198395.74,4
2024-02,161,237,10138,173044.75,5
2024-02,239,142,8809,127949.58,6
2024-02,161,236,8650,188649.15,7
2024-02,237,161,8608,143899.0,8
2024-02,142,239,8218,123468.67,9
2024-02,239,238,8024,110866.32,10
2024-03,237,236,21230,327736.63,1
2024-03,236,237,18928,300770.4,2
2024-03,236,236,15511,212391.26,3
2024-03,237,237,14748,210468.4,4
2024-03,161,237,10471,176412.14,5
2024-03,142,239,9640,144022.82,6
2024-03,237,161,9167,155705.17,7
2024-03,239,142,9141,131559.33,8
2024-03,239,238,9103,125875.96,9
2024-03,161,236,8924,192188.02,10
2024-04,138,142,1,76.43,1
2024-04,186,263,1,31.44,2
