date_day,year_num,month_num,day_num,day_of_week_num,day_name,is_weekend
2002-12-31,2002,12,31,2,Tuesday,0
2008-12-31,2008,12,31,3,Wednesday,0
2009-01-01,2009,1,1,4,Thursday,0
2023-12-31,2023,12,31,0,Sunday,1
2024-01-01,2024,1,1,1,Monday,0
2024-01-02,2024,1,2,2,Tuesday,0
2024-01-03,2024,1,3,3,Wednesday,0
2024-01-04,2024,1,4,4,Thursday,0
2024-01-05,2024,1,5,5,Friday,0
2024-01-06,2024,1,6,6,Saturday,1
2024-01-07,2024,1,7,0,Sunday,1
2024-01-08,2024,1,8,1,Monday,0
2024-01-09,2024,1,9,2,Tuesday,0
2024-01-10,2024,1,10,3,Wednesday,0
2024-01-11,2024,1,11,4,Thursday,0
2024-01-12,2024,1,12,5,Friday,0
2024-01-13,2024,1,13,6,Saturday,1
2024-01-14,2024,1,14,0,Sunday,1
2024-01-15,2024,1,15,1,Monday,0
2024-01-16,2024,1,16,2,Tuesday,0
2024-01-17,2024,1,17,3,Wednesday,0
2024-01-18,2024,1,18,4,Thursday,0
2024-01-19,2024,1,19,5,Friday,0
2024-01-20,2024,1,20,6,Saturday,1
2024-01-21,2024,1,21,0,Sunday,1
2024-01-22,2024,1,22,1,Monday,0
2024-01-23,2024,1,23,2,Tuesday,0
2024-01-24,2024,1,24,3,Wednesday,0
2024-01-25,2024,1,25,4,Thursday,0
2024-01-26,2024,1,26,5,Friday,0
2024-01-27,2024,1,27,6,Saturday,1
2024-01-28,2024,1,28,0,Sunday,1
2024-01-29,2024,1,29,1,Monday,0
2024-01-30,2024,1,30,2,Tuesday,0
2024-01-31,2024,1,31,3,Wednesday,0
2024-02-01,2024,2,1,4,Thursday,0
2024-02-02,2024,2,2,5,Friday,0
2024-02-03,2024,2,3,6,Saturday,1
2024-02-04,2024,2,4,0,Sunday,1
2024-02-05,2024,2,5,1,Monday,0
2024-02-06,2024,2,6,2,Tuesday,0
2024-02-07,2024,2,7,3,Wednesday,0
2024-02-08,2024,2,8,4,Thursday,0
2024-02-09,2024,2,9,5,Friday,0
2024-02-10,2024,2,10,6,Saturday,1
2024-02-11,2024,2,11,0,Sunday,1
2024-02-12,2024,2,12,1,Monday,0
2024-02-13,2024,2,13,2,Tuesday,0
2024-02-14,2024,2,14,3,Wednesday,0
2024-02-15,2024,2,15,4,Thursday,0
2024-02-16,2024,2,16,5,Friday,0
2024-02-17,2024,2,17,6,Saturday,1
2024-02-18,2024,2,18,0,Sunday,1
2024-02-19,2024,2,19,1,Monday,0
2024-02-20,2024,2,20,2,Tuesday,0
2024-02-21,2024,2,21,3,Wednesday,0
2024-02-22,2024,2,22,4,Thursday,0
2024-02-23,2024,2,23,5,Friday,0
2024-02-24,2024,2,24,6,Saturday,1
2024-02-25,2024,2,25,0,Sunday,1
2024-02-26,2024,2,26,1,Monday,0
2024-02-27,2024,2,27,2,Tuesday,0
2024-02-28,2024,2,28,3,Wednesday,0
2024-02-29,2024,2,29,4,Thursday,0
2024-03-01,2024,3,1,5,Friday,0
2024-03-02,2024,3,2,6,Saturday,1
2024-03-03,2024,3,3,0,Sunday,1
2024-03-04,2024,3,4,1,Monday,0
2024-03-05,2024,3,5,2,Tuesday,0
2024-03-06,2024,3,6,3,Wednesday,0
2024-03-07,2024,3,7,4,Thursday,0
2024-03-08,2024,3,8,5,Friday,0
2024-03-09,2024,3,9,6,Saturday,1
2024-03-10,2024,3,10,0,Sunday,1
2024-03-11,2024,3,11,1,Monday,0
2024-03-12,2024,3,12,2,Tuesday,0
2024-03-13,2024,3,13,3,Wednesday,0
2024-03-14,2024,3,14,4,Thursday,0
2024-03-15,2024,3,15,5,Friday,0
2024-03-16,2024,3,16,6,Saturday,1
2024-03-17,2024,3,17,0,Sunday,1
2024-03-18,2024,3,18,1,Monday,0
2024-03-19,2024,3,19,2,Tuesday,0
2024-03-20,2024,3,20,3,Wednesday,0
2024-03-21,2024,3,21,4,Thursday,0
2024-03-22,2024,3,22,5,Friday,0
2024-03-23,2024,3,23,6,Saturday,1
2024-03-24,2024,3,24,0,Sunday,1
2024-03-25,2024,3,25,1,Monday,0
2024-03-26,2024,3,26,2,Tuesday,0
2024-03-27,2024,3,27,3,Wednesday,0
2024-03-28,2024,3,28,4,Thursday,0
2024-03-29,2024,3,29,5,Friday,0
2024-03-30,2024,3,30,6,Saturday,1
2024-03-31,2024,3,31,0,Sunday,1
2024-04-01,2024,4,1,1,Monday,0
